max1,min1,mid1,amp1,max2,min2,mid2,amp2,max3,min3,mid3,amp3,max4,min4,mid4,amp4,max5,min5,mid5,amp5,max6,min6,mid6,amp6
1.427,-0.55,0.877,1.977,0.87,-0.467,0.403,1.337,0.779,-0.412,0.367,1.191,0.145,0.138,0.283,0.007,0.11,0.104,0.214,0.006,0.82,-0.476,0.344,1.296
1.452,-0.898,0.554,2.35,1.25,-0.691,0.559,1.941,0.868,-0.488,0.38,1.356,0.765,-0.458,0.307,1.223,0.11,0.104,0.214,0.006,0.083,0.079,0.162,0.004
1.3,-0.808,0.492,2.108,0.844,-0.544,0.3,1.388,0.806,-0.457,0.349,1.263,0.087,0.081,0.168,0.006,0.064,0.059,0.123,0.005,0.799,-0.626,0.173,1.425
1.349,-0.916,0.433,2.265,1.2,-0.837,0.363,2.037,0.773,-0.57,0.203,1.343,0.645,-0.498,0.147,1.143,0.065,0.059,0.124,0.006,0.049,0.044,0.093,0.005
0.805,-0.689,0.116,1.494,1.109,-0.848,0.261,1.957,1.306,-0.988,0.318,2.294,1.2,-0.898,0.302,2.098,0.862,-0.609,0.253,1.471,0.742,-0.516,0.226,1.258
0.718,-0.734,-0.016,1.452,1.056,-0.84,0.216,1.896,1.234,-1.082,0.152,2.316,1.05,-0.876,0.174,1.926,0.742,-0.694,0.048,1.436,0.653,-0.664,-0.011,1.317
0.672,-0.644,0.028,1.316,0.608,-0.574,0.034,1.182,0.029,0.023,0.052,0.006,0.021,0.018,0.039,0.003,0.684,-0.676,0.008,1.36,1.091,-0.924,0.167,2.015
0.728,-0.584,0.144,1.312,0.724,-0.536,0.188,1.26,0.022,0.019,0.041,0.003,0.017,0.013,0.03,0.004,0.798,-0.632,0.166,1.43,1.083,-0.906,0.177,1.989
0.748,-0.666,0.082,1.414,0.62,-0.601,0.019,1.221,0.017,0.013,0.03,0.004,0.013,0.009,0.022,0.004,0.664,-0.591,0.073,1.255,0.954,-0.944,0.01,1.898
0.608,-0.766,-0.158,1.374,0.588,-0.628,-0.04,1.216,0.013,0.009,0.022,0.004,0.011,0.006,0.017,0.005,0.633,-0.752,-0.119,1.385,0.906,-0.979,-0.073,1.885
1.272,-1.145,0.127,2.417,1.086,-0.997,0.089,2.083,0.698,-0.658,0.04,1.356,0.671,-0.598,0.073,1.269,0.01,0.005,0.015,0.005,0.008,0.004,0.012,0.004
0.69,-0.732,-0.042,1.422,1.006,-0.988,0.018,1.994,1.173,-1.206,-0.033,2.379,1.052,-1.1,-0.048,2.152,0.659,-0.772,-0.113,1.431,0.564,-0.713,-0.149,1.277
0.762,-0.72,0.042,1.482,0.736,-0.644,0.092,1.38,0.006,0.004,0.01,0.002,0.005,0.002,0.007,0.003,0.738,-0.766,-0.028,1.504,0.998,-1.082,-0.084,2.08
1.254,-1.206,0.048,2.46,1.04,-1.048,-0.008,2.088,0.677,-0.721,-0.044,1.398,0.626,-0.672,-0.046,1.298,0.005,0.0,0.005,0.005,0.004,-0.001,0.003,0.005
1.192,-1.204,-0.012,2.396,0.98,-1.101,-0.121,2.081,0.646,-0.715,-0.069,1.361,0.645,-0.656,-0.011,1.301,0.006,0.002,0.008,0.004,0.004,0.001,0.005,0.003
1.272,-1.2,0.072,2.472,1.088,-0.945,0.143,2.033,0.759,-0.7,0.059,1.459,0.668,-0.634,0.034,1.302,0.005,0.001,0.006,0.004,0.004,-0.001,0.003,0.005
1.296,-1.278,0.018,2.574,1.056,-1.028,0.028,2.084,0.639,-0.709,-0.07,1.348,0.66,-0.619,0.041,1.279,0.002,-0.003,-0.001,0.005,0.003,-0.001,0.002,0.004
0.755,-0.68,0.075,1.435,1.048,-1.034,0.014,2.082,1.246,-1.304,-0.058,2.55,1.079,-1.2,-0.121,2.279,0.708,-0.67,0.038,1.378,0.763,-0.61,0.153,1.373
1.168,-1.187,-0.019,2.355,1.05,-0.983,0.067,2.033,0.724,-0.682,0.042,1.406,0.572,-0.652,-0.08,1.224,0.002,-0.002,0.0,0.004,0.003,-0.002,0.001,0.005
1.151,-1.2,-0.049,2.351,0.986,-1.018,-0.032,2.004,0.627,-0.699,-0.072,1.326,0.534,-0.682,-0.148,1.216,0.002,-0.003,-0.001,0.005,0.002,-0.003,-0.001,0.005
1.25,-1.145,0.105,2.395,1.034,-1.034,0.0,2.068,0.645,-0.796,-0.151,1.441,0.576,-0.75,-0.174,1.326,0.001,-0.003,-0.002,0.004,0.003,-0.003,0.0,0.006
1.182,-1.25,-0.068,2.432,1.008,-1.085,-0.077,2.093,0.625,-0.804,-0.179,1.429,0.641,-0.593,0.048,1.234,0.003,-0.003,0.0,0.006,0.003,-0.002,0.001,0.005
1.298,-1.348,-0.05,2.646,1.156,-1.268,-0.112,2.424,0.724,-0.828,-0.104,1.552,0.856,-0.662,0.194,1.518,0.001,-0.004,-0.003,0.005,0.002,-0.003,-0.001,0.005
0.003,-0.002,0.001,0.005,0.002,-0.003,-0.001,0.005,0.61,-0.77,-0.16,1.38,0.95,-1.106,-0.156,2.056,1.292,-1.246,0.046,2.538,0.992,-1.006,-0.014,1.998
1.236,-1.254,-0.018,2.49,1.222,-1.062,0.16,2.284,0.834,-0.752,0.082,1.586,0.746,-0.676,0.07,1.422,0.001,-0.003,-0.002,0.004,0.003,-0.004,-0.001,0.007
1.161,-1.346,-0.185,2.507,1.108,-1.094,0.014,2.202,0.698,-0.717,-0.019,1.415,0.606,-0.723,-0.117,1.329,0.003,-0.003,0.0,0.006,0.002,-0.003,-0.001,0.005
1.194,-1.216,-0.022,2.41,1.044,-0.985,0.059,2.029,0.74,-0.666,0.074,1.406,0.547,-0.606,-0.059,1.153,0.001,-0.004,-0.003,0.005,0.004,-0.001,0.003,0.005
1.226,-1.256,-0.03,2.482,1.072,-1.07,0.002,2.142,0.759,-0.756,0.003,1.515,0.655,-0.684,-0.029,1.339,0.002,-0.004,-0.002,0.006,0.003,-0.001,0.002,0.004
1.274,-1.018,0.256,2.292,1.122,-0.896,0.226,2.018,0.783,-0.613,0.17,1.396,0.65,-0.57,0.08,1.22,0.002,-0.003,-0.001,0.005,0.001,-0.004,-0.003,0.005
1.056,-1.308,-0.252,2.364,0.94,-0.997,-0.057,1.937,0.73,-0.682,0.048,1.412,0.651,-0.666,-0.015,1.317,0.001,-0.004,-0.003,0.005,0.0,-0.004,-0.004,0.004
1.27,-1.156,0.114,2.426,0.992,-1.006,-0.014,1.998,0.633,-0.689,-0.056,1.322,0.47,-0.58,-0.11,1.05,0.001,-0.004,-0.003,0.005,0.003,-0.004,-0.001,0.007
0.525,-0.68,-0.155,1.205,0.616,-0.648,-0.032,1.264,0.003,-0.004,-0.001,0.007,0.002,-0.004,-0.002,0.006,0.513,-0.72,-0.207,1.233,0.94,-0.928,0.012,1.868
1.218,-1.13,0.088,2.348,1.108,-0.969,0.139,2.077,0.698,-0.632,0.066,1.33,0.566,-0.58,-0.014,1.146,0.002,-0.004,-0.002,0.006,0.002,-0.003,-0.001,0.005
0.726,-0.752,-0.026,1.478,0.578,-0.591,-0.013,1.169,0.003,-0.003,0.0,0.006,0.002,-0.003,-0.001,0.005,0.622,-0.745,-0.123,1.367,1.042,-0.975,0.067,2.017
1.177,-1.274,-0.097,2.451,1.101,-1.101,0.0,2.202,0.704,-0.736,-0.032,1.44,0.696,-0.715,-0.019,1.411,-0.001,-0.005,-0.006,0.004,0.001,-0.003,-0.002,0.004
0.718,-0.684,0.034,1.402,1.05,-1.004,0.046,2.054,1.236,-1.143,0.093,2.379,1.092,-0.954,0.138,2.046,0.682,-0.676,0.006,1.358,0.626,-0.604,0.022,1.23
0.774,-0.646,0.128,1.42,0.74,-0.712,0.028,1.452,0.001,-0.004,-0.003,0.005,0.0,-0.004,-0.004,0.004,0.88,-0.674,0.206,1.554,1.012,-0.991,0.021,2.003
1.232,-1.234,-0.002,2.466,1.144,-1.087,0.057,2.231,0.83,-0.678,0.152,1.508,0.656,-0.672,-0.016,1.328,0.001,-0.004,-0.003,0.005,0.002,-0.003,-0.001,0.005
1.2,-1.179,0.021,2.379,1.088,-0.999,0.089,2.087,0.767,-0.739,0.028,1.506,0.684,-0.544,0.14,1.228,0.002,-0.004,-0.002,0.006,0.001,-0.004,-0.003,0.005
