max1,min1,mid1,amp1,max2,min2,mid2,amp2,max3,min3,mid3,amp3,max4,min4,mid4,amp4,max5,min5,mid5,amp5,max6,min6,mid6,amp6
0.885,-0.764,0.121,1.649,1.103,-0.904,0.199,2.007,1.014,-0.772,0.242,1.786,0.72,-0.528,0.192,1.248,0.616,-0.36,0.256,0.976,0.677,-0.439,0.238,1.116
0.944,-0.892,0.052,1.836,0.637,-0.646,-0.009,1.283,0.554,-0.469,0.085,1.023,0.656,-0.632,0.024,1.288,0.002,-0.003,-0.001,0.005,0.002,-0.003,-0.001,0.005
0.894,-0.966,-0.072,1.86,0.634,-0.678,-0.044,1.312,0.497,-0.476,0.021,0.973,0.59,-0.66,-0.07,1.25,0.003,-0.002,0.001,0.005,0.003,-0.002,0.001,0.005
0.002,-0.002,0.0,0.004,0.003,-0.002,0.001,0.005,0.834,-0.999,-0.165,1.833,1.044,-1.179,-0.135,2.223,0.907,-0.973,-0.066,1.88,0.576,-0.67,-0.094,1.246
0.964,-0.878,0.086,1.842,0.562,-0.576,-0.014,1.138,0.483,-0.461,0.022,0.944,0.637,-0.57,0.067,1.207,0.003,-0.003,0.0,0.006,0.002,-0.002,0.0,0.004
0.816,-0.832,-0.016,1.648,1.086,-1.002,0.084,2.088,0.922,-0.869,0.053,1.791,0.578,-0.58,-0.002,1.158,0.442,-0.468,-0.026,0.91,0.653,-0.514,0.139,1.167
0.824,-0.884,-0.06,1.708,1.022,-1.04,-0.018,2.062,0.98,-0.91,0.07,1.89,0.6,-0.625,-0.025,1.225,0.502,-0.422,0.08,0.924,0.633,-0.592,0.041,1.225
0.868,-0.86,0.008,1.728,0.59,-0.53,0.06,1.12,0.448,-0.424,0.024,0.872,0.54,-0.576,-0.036,1.116,0.001,-0.004,-0.003,0.005,0.002,-0.002,0.0,0.004
0.872,-0.892,-0.02,1.764,0.548,-0.741,-0.193,1.289,0.45,-0.546,-0.096,0.996,0.673,-0.664,0.009,1.337,0.001,-0.003,-0.002,0.004,0.003,-0.002,0.001,0.005
0.868,-0.854,0.014,1.722,1.058,-1.03,0.028,2.088,0.918,-0.944,-0.026,1.862,0.642,-0.609,0.033,1.251,0.514,-0.5,0.014,1.014,0.588,-0.552,0.036,1.14
