,pe11,pe12,pe13,pe14,pe15,pe16,,,,,,
count,100,100,100,100,100,100,,,,,,
mean,26.51281462,26.1013137,25.88766894,29.59475985,29.9620927,30.31005627,,,,,,
std,1.101704094,1.399901802,1.061905769,0.993372364,1.04506401,1.365028288,,,,,,
min,24.52158826,23.6942421,23.83404316,27.2023557,27.08553801,27.03678263,,,,,,
25%,25.81403124,24.78902832,25.11480874,28.91728647,29.25658405,29.31438538,,,,,,
50%,26.50365444,26.39183586,25.85567999,29.56099586,30.00421688,30.62760554,,,,,,
75%,27.28042281,27.34942518,26.66768654,30.29444604,30.77148941,31.12226172,,,,,,
max,28.68533281,28.45422754,27.9738425,31.81182345,32.04300694,32.35463209,,,,,,
,,,,,,,,,,,,
max of mean,30.31005627,30.31005627,30.31005627,30.31005627,30.31005627,30.31005627,,,,,,
scale,1.143222879,1.161246389,1.170829878,1.024169698,1.01161346,1,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
