max1,min1,mid1,amp1,max2,min2,mid2,amp2,max3,min3,mid3,amp3,max4,min4,mid4,amp4,max5,min5,mid5,amp5,max6,min6,mid6,amp6
0.001,-0.004,-0.003,0.005,0.001,-0.004,-0.003,0.005,0.588,-0.745,-0.157,1.333,0.68,-0.806,-0.126,1.486,0.938,-1.018,-0.08,1.956,1.194,-1.282,-0.088,2.476
0.722,-0.65,0.072,1.372,0.748,-0.723,0.025,1.471,1.03,-1.01,0.02,2.04,1.258,-1.212,0.046,2.47,1.077,-1.024,0.053,2.101,0.891,-0.859,0.032,1.75
1.01,-1.026,-0.016,2.036,1.302,-1.314,-0.012,2.616,1.18,-1.046,0.134,2.226,0.984,-0.976,0.008,1.96,0.001,-0.005,-0.004,0.006,0.003,-0.003,0.0,0.006
1.139,-1.11,0.029,2.249,0.988,-0.972,0.016,1.96,0.002,-0.004,-0.002,0.006,0.002,-0.002,0.0,0.004,0.8,-0.76,0.04,1.56,0.807,-0.752,0.055,1.559
1.062,-1.06,0.002,2.122,1.364,-1.336,0.028,2.7,1.232,-1.128,0.104,2.36,1.016,-0.918,0.098,1.934,0.001,-0.004,-0.003,0.005,0.003,-0.002,0.001,0.005
0.002,-0.002,0.0,0.004,0.002,-0.003,-0.001,0.005,0.718,-0.729,-0.011,1.447,0.783,-0.754,0.029,1.537,1.075,-1.148,-0.073,2.223,1.364,-1.344,0.02,2.708
1.072,-1.078,-0.006,2.15,1.314,-1.382,-0.068,2.696,1.194,-1.202,-0.008,2.396,0.962,-0.946,0.016,1.908,0.003,-0.004,-0.001,0.007,0.003,-0.002,0.001,0.005
1.091,-1.034,0.057,2.125,1.278,-1.272,0.006,2.55,1.101,-1.062,0.039,2.163,0.95,-0.888,0.062,1.838,0.003,-0.002,0.001,0.005,0.003,-0.003,0.0,0.006
1.098,-1.216,-0.118,2.314,0.994,-0.962,0.032,1.956,0.003,-0.003,0.0,0.006,0.003,-0.003,0.0,0.006,0.698,-0.752,-0.054,1.45,0.8,-0.855,-0.055,1.655
0.003,-0.003,0.0,0.006,0.001,-0.005,-0.004,0.006,0.736,-0.768,-0.032,1.504,0.752,-0.802,-0.05,1.554,1.044,-1.04,0.004,2.084,1.294,-1.304,-0.01,2.598
1.032,-1.079,-0.047,2.111,1.313,-1.379,-0.066,2.692,1.17,-1.151,0.019,2.321,0.931,-0.969,-0.038,1.9,0.001,-0.004,-0.003,0.005,0.003,-0.004,-0.001,0.007
1.31,-1.13,0.18,2.44,0.986,-0.98,0.006,1.966,0.002,-0.002,0.0,0.004,0.002,-0.003,-0.001,0.005,0.75,-0.701,0.049,1.451,0.886,-0.798,0.088,1.684
1.085,-1.04,0.045,2.125,1.286,-1.31,-0.024,2.596,1.238,-1.13,0.108,2.368,0.994,-0.971,0.023,1.965,0.001,-0.004,-0.003,0.005,0.002,-0.003,-0.001,0.005
1.124,-1.05,0.074,2.174,1.344,-1.393,-0.049,2.737,1.134,-1.236,-0.102,2.37,1.06,-0.943,0.117,2.003,0.003,-0.003,0.0,0.006,0.003,-0.003,0.0,0.006
1.136,-1.083,0.053,2.219,1.454,-1.394,0.06,2.848,1.232,-1.119,0.113,2.351,1.024,-0.941,0.083,1.965,0.001,-0.004,-0.003,0.005,0.002,-0.003,-0.001,0.005
1.018,-1.118,-0.1,2.136,1.312,-1.385,-0.073,2.697,1.142,-1.248,-0.106,2.39,0.96,-0.92,0.04,1.88,-0.001,-0.004,-0.005,0.003,0.002,-0.003,-0.001,0.005
0.734,-0.726,0.008,1.46,0.777,-0.816,-0.039,1.593,1.101,-1.113,-0.012,2.214,1.368,-1.361,0.007,2.729,1.196,-1.185,0.011,2.381,1.048,-0.984,0.064,2.032
1.113,-1.046,0.067,2.159,1.348,-1.389,-0.041,2.737,1.149,-1.156,-0.007,2.305,0.908,-0.952,-0.044,1.86,0.004,-0.002,0.002,0.006,0.002,-0.004,-0.002,0.006
1.067,-1.09,-0.023,2.157,1.376,-1.325,0.051,2.701,1.228,-1.212,0.016,2.44,0.976,-0.939,0.037,1.915,0.001,-0.004,-0.003,0.005,0.003,-0.004,-0.001,0.007
1.096,-1.052,0.044,2.148,1.417,-1.395,0.022,2.812,1.22,-1.171,0.049,2.391,1.014,-1.002,0.012,2.016,0.001,-0.004,-0.003,0.005,0.003,-0.003,0.0,0.006
1.148,-1.256,-0.108,2.404,0.954,-0.971,-0.017,1.925,0.003,-0.003,0.0,0.006,0.004,-0.001,0.003,0.005,0.798,-0.804,-0.006,1.602,0.765,-0.882,-0.117,1.647
1.214,-1.196,0.018,2.41,1.038,-0.98,0.058,2.018,0.003,-0.002,0.001,0.005,0.001,-0.004,-0.003,0.005,0.806,-0.806,0.0,1.612,0.826,-0.844,-0.018,1.67
