max1,min1,mid1,amp1,max2,min2,mid2,amp2,max3,min3,mid3,amp3,max4,min4,mid4,amp4,max5,min5,mid5,amp5,max6,min6,mid6,amp6
0.088,-0.111,-0.023,0.199,0.107,-0.044,0.063,0.151,0.014,-0.013,0.001,0.027,0.011,-0.009,0.002,0.02,0.064,-0.104,-0.04,0.168,0.087,-0.097,-0.01,0.184
0.118,-0.106,0.012,0.224,0.1,-0.122,-0.022,0.222,0.144,-0.092,0.052,0.236,0.112,-0.165,-0.053,0.277,0.003,-0.002,0.001,0.005,0.003,-0.001,0.002,0.004
0.103,-0.14,-0.037,0.243,0.051,-0.08,-0.029,0.131,0.058,-0.099,-0.041,0.157,0.08,-0.097,-0.017,0.177,0.093,-0.113,-0.02,0.206,0.077,-0.11,-0.033,0.187
0.002,-0.003,-0.001,0.005,0.003,-0.002,0.001,0.005,0.078,-0.098,-0.02,0.176,0.074,-0.088,-0.014,0.162,0.13,-0.099,0.031,0.229,0.102,-0.092,0.01,0.194
0.09,-0.058,0.032,0.148,0.102,-0.098,0.004,0.2,0.104,-0.102,0.002,0.206,0.186,-0.09,0.096,0.276,0.106,-0.118,-0.012,0.224,0.166,-0.108,0.058,0.274
0.105,-0.144,-0.039,0.249,0.092,-0.156,-0.064,0.248,0.103,-0.152,-0.049,0.255,0.177,-0.095,0.082,0.272,0.003,-0.001,0.002,0.004,0.002,-0.004,-0.002,0.006
0.086,-0.148,-0.062,0.234,0.062,-0.138,-0.076,0.2,0.102,-0.21,-0.108,0.312,0.096,-0.096,0.0,0.192,0.001,-0.004,-0.003,0.005,0.002,-0.003,-0.001,0.005
0.144,-0.218,-0.074,0.362,0.123,-0.196,-0.073,0.319,0.002,-0.004,-0.002,0.006,0.003,-0.002,0.001,0.005,0.126,-0.079,0.047,0.205,0.118,-0.104,0.014,0.222
0.141,-0.142,-0.001,0.283,0.14,-0.144,-0.004,0.284,0.004,-0.002,0.002,0.006,0.002,-0.003,-0.001,0.005,0.136,-0.092,0.044,0.228,0.102,-0.11,-0.008,0.212
0.082,-0.084,-0.002,0.166,0.07,-0.122,-0.052,0.192,0.087,-0.101,-0.014,0.188,0.124,-0.094,0.03,0.218,0.002,-0.004,-0.002,0.006,0.003,-0.002,0.001,0.005
