max1,min1,mid1,amp1,max2,min2,mid2,amp2,max3,min3,mid3,amp3,max4,min4,mid4,amp4,max5,min5,mid5,amp5,max6,min6,mid6,amp6
0.907,-0.81,0.097,1.717,1.242,-0.558,0.684,1.8,1.147,-0.364,0.783,1.511,1.004,-0.262,0.742,1.266,0.724,-0.43,0.294,1.154,0.842,-0.634,0.208,1.476
0.918,-0.824,0.094,1.742,1.1,-0.598,0.502,1.698,0.998,-0.388,0.61,1.386,0.864,-0.33,0.534,1.194,0.646,-0.49,0.156,1.136,0.842,-0.57,0.272,1.412
0.921,-0.868,0.053,1.789,1.046,-0.65,0.396,1.696,0.964,-0.5,0.464,1.464,0.872,-0.397,0.475,1.269,0.584,-0.478,0.106,1.062,0.84,-0.608,0.232,1.448
0.92,-0.828,0.092,1.748,0.907,-0.73,0.177,1.637,0.858,-0.606,0.252,1.464,0.885,-0.478,0.407,1.363,0.631,-0.44,0.191,1.071,0.811,-0.622,0.189,1.433
0.809,-0.616,0.193,1.425,0.734,-0.516,0.218,1.25,0.61,-0.492,0.118,1.102,0.822,-0.652,0.17,1.474,0.05,0.044,0.094,0.006,0.035,0.033,0.068,0.002
0.832,-0.73,0.102,1.562,0.694,-0.622,0.072,1.316,0.547,-0.571,-0.024,1.118,0.69,-0.692,-0.002,1.382,0.036,0.032,0.068,0.004,0.028,0.025,0.053,0.003
0.76,-0.692,0.068,1.452,0.652,-0.569,0.083,1.221,0.576,-0.538,0.038,1.114,0.844,-0.717,0.127,1.561,0.029,0.025,0.054,0.004,0.021,0.018,0.039,0.003
1.004,-0.876,0.128,1.88,1.038,-0.776,0.262,1.814,0.78,-0.718,0.062,1.498,0.75,-0.737,0.013,1.487,0.606,-0.571,0.035,1.177,0.868,-0.79,0.078,1.658
0.95,-0.922,0.028,1.872,0.929,-0.808,0.121,1.737,0.811,-0.772,0.039,1.583,0.679,-0.668,0.011,1.347,0.58,-0.516,0.064,1.096,0.824,-0.78,0.044,1.604
0.588,-0.695,-0.107,1.283,0.8,-0.792,0.008,1.592,0.013,0.009,0.022,0.004,0.011,0.007,0.018,0.004,0.914,-0.88,0.034,1.794,0.946,-0.871,0.075,1.817
0.69,-0.488,0.202,1.178,0.778,-0.723,0.055,1.501,0.013,0.008,0.021,0.005,0.009,0.004,0.013,0.005,0.968,-0.821,0.147,1.789,0.924,-0.762,0.162,1.686
0.592,-0.646,-0.054,1.238,0.674,-0.721,-0.047,1.395,0.01,0.004,0.014,0.006,0.007,0.003,0.01,0.004,0.755,-0.97,-0.215,1.725,0.888,-0.866,0.022,1.754
0.767,-0.715,0.052,1.482,0.616,-0.742,-0.126,1.358,0.541,-0.542,-0.001,1.083,0.77,-0.746,0.024,1.516,0.007,0.003,0.01,0.004,0.004,-0.001,0.003,0.005
0.46,-0.504,-0.044,0.964,0.714,-0.808,-0.094,1.522,0.007,0.002,0.009,0.005,0.003,-0.001,0.002,0.004,0.828,-0.949,-0.121,1.777,0.793,-0.853,-0.06,1.646
0.694,-0.658,0.036,1.352,0.561,-0.618,-0.057,1.179,0.533,-0.607,-0.074,1.14,0.834,-0.756,0.078,1.59,0.004,-0.001,0.003,0.005,0.004,0.001,0.005,0.003
