max1,min1,mid1,amp1,max2,min2,mid2,amp2,max3,min3,mid3,amp3,max4,min4,mid4,amp4,max5,min5,mid5,amp5,max6,min6,mid6,amp6
0.776,-0.713,0.063,1.489,0.776,-0.806,-0.03,1.582,1.13,-1.093,0.037,2.223,1.504,-1.435,0.069,2.939,1.252,-1.204,0.048,2.456,0.984,-0.922,0.062,1.906
0.002,-0.004,-0.002,0.006,0.002,-0.004,-0.002,0.006,0.718,-0.743,-0.025,1.461,0.71,-0.828,-0.118,1.538,1.156,-1.232,-0.076,2.388,1.544,-1.502,0.042,3.046
0.704,-0.613,0.091,1.317,0.814,-0.7,0.114,1.514,1.1,-1.111,-0.011,2.211,1.446,-1.294,0.152,2.74,1.216,-1.046,0.17,2.262,0.822,-0.804,0.018,1.626
1.085,-1.153,-0.068,2.238,1.35,-1.401,-0.051,2.751,1.262,-1.19,0.072,2.452,0.988,-1.052,-0.064,2.04,0.001,-0.003,-0.002,0.004,0.003,-0.003,0.0,0.006
1.155,-1.118,0.037,2.273,1.446,-1.422,0.024,2.868,1.21,-1.214,-0.004,2.424,0.942,-0.975,-0.033,1.917,0.003,-0.004,-0.001,0.007,0.003,-0.003,0.0,0.006
1.103,-1.178,-0.075,2.281,1.395,-1.458,-0.063,2.853,1.204,-1.282,-0.078,2.486,0.95,-0.878,0.072,1.828,0.002,-0.004,-0.002,0.006,0.002,-0.004,-0.002,0.006
0.714,-0.695,0.019,1.409,0.814,-0.821,-0.007,1.635,1.109,-1.198,-0.089,2.307,1.371,-1.432,-0.061,2.803,1.181,-1.323,-0.142,2.504,1.03,-0.928,0.102,1.958
0.753,-0.691,0.062,1.444,0.772,-0.734,0.038,1.506,1.086,-1.118,-0.032,2.204,1.429,-1.438,-0.009,2.867,1.244,-1.186,0.058,2.43,0.94,-0.92,0.02,1.86
1.115,-1.117,-0.002,2.232,1.432,-1.398,0.034,2.83,1.181,-1.206,-0.025,2.387,0.96,-0.954,0.006,1.914,0.002,-0.004,-0.002,0.006,0.003,-0.002,0.001,0.005
1.127,-1.192,-0.065,2.319,1.423,-1.446,-0.023,2.869,1.19,-1.362,-0.172,2.552,0.918,-1.034,-0.116,1.952,0.001,-0.004,-0.003,0.005,0.003,-0.003,0.0,0.006
