max1,min1,mid1,amp1,max2,min2,mid2,amp2,max3,min3,mid3,amp3,max4,min4,mid4,amp4,max5,min5,mid5,amp5,max6,min6,mid6,amp6
0.132,-0.095,0.037,0.227,0.153,-0.116,0.037,0.269,0.1,-0.18,-0.08,0.28,0.104,-0.162,-0.058,0.266,0.002,-0.003,-0.001,0.005,0.001,-0.004,-0.003,0.005
0.138,-0.102,0.036,0.24,0.1,-0.099,0.001,0.199,0.001,-0.005,-0.004,0.006,0.002,-0.002,0.0,0.004,0.122,-0.102,0.02,0.224,0.173,-0.118,0.055,0.291
0.166,-0.146,0.02,0.312,0.126,-0.157,-0.031,0.283,0.149,-0.106,0.043,0.255,0.122,-0.128,-0.006,0.25,0.001,-0.004,-0.003,0.005,0.001,-0.004,-0.003,0.005
0.166,-0.106,0.06,0.272,0.172,-0.124,0.048,0.296,0.188,-0.072,0.116,0.26,0.202,-0.117,0.085,0.319,0.174,-0.171,0.003,0.345,0.116,-0.122,-0.006,0.238
0.084,-0.194,-0.11,0.278,0.07,-0.148,-0.078,0.218,0.108,-0.24,-0.132,0.348,0.148,-0.261,-0.113,0.409,0.198,-0.214,-0.016,0.412,0.092,-0.18,-0.088,0.272
0.142,-0.113,0.029,0.255,0.134,-0.168,-0.034,0.302,0.154,-0.176,-0.022,0.33,0.098,-0.172,-0.074,0.27,0.002,-0.004,-0.002,0.006,0.002,-0.004,-0.002,0.006
0.092,-0.112,-0.02,0.204,0.13,-0.142,-0.012,0.272,0.1,-0.18,-0.08,0.28,0.116,-0.088,0.028,0.204,0.003,-0.002,0.001,0.005,0.002,-0.004,-0.002,0.006
0.18,-0.07,0.11,0.25,0.194,-0.146,0.048,0.34,0.194,-0.127,0.067,0.321,0.154,-0.118,0.036,0.272,0.141,-0.088,0.053,0.229,0.136,-0.12,0.016,0.256
0.056,-0.104,-0.048,0.16,0.136,-0.12,0.016,0.256,0.001,-0.004,-0.003,0.005,0.001,-0.004,-0.003,0.005,0.132,-0.186,-0.054,0.318,0.116,-0.113,0.003,0.229
0.107,-0.146,-0.039,0.253,0.061,-0.184,-0.123,0.245,0.076,-0.112,-0.036,0.188,0.143,-0.131,0.012,0.274,0.044,-0.152,-0.108,0.196,0.053,-0.115,-0.062,0.168
0.086,-0.09,-0.004,0.176,0.093,-0.083,0.01,0.176,0.162,-0.118,0.044,0.28,0.14,-0.124,0.016,0.264,0.17,-0.152,0.018,0.322,0.001,-0.004,-0.003,0.005
0.151,-0.082,0.069,0.233,0.15,-0.099,0.051,0.249,0.183,-0.106,0.077,0.289,0.252,-0.176,0.076,0.428,0.166,-0.066,0.1,0.232,0.134,-0.128,0.006,0.262
0.086,-0.193,-0.107,0.279,0.102,-0.157,-0.055,0.259,0.092,-0.13,-0.038,0.222,0.072,-0.188,-0.116,0.26,0.008,-0.154,-0.146,0.162,0.084,-0.161,-0.077,0.245
0.11,-0.092,0.018,0.202,0.066,-0.198,-0.132,0.264,0.064,-0.106,-0.042,0.17,0.075,-0.12,-0.045,0.195,0.002,-0.003,-0.001,0.005,0.001,-0.003,-0.002,0.004
0.124,-0.142,-0.018,0.266,0.112,-0.163,-0.051,0.275,0.11,-0.124,-0.014,0.234,0.136,-0.09,0.046,0.226,0.001,-0.004,-0.003,0.005,0.002,-0.002,0.0,0.004
0.003,-0.004,-0.001,0.007,0.002,-0.003,-0.001,0.005,0.098,-0.082,0.016,0.18,0.096,-0.116,-0.02,0.212,0.126,-0.146,-0.02,0.272,0.098,-0.122,-0.024,0.22
0.119,-0.064,0.055,0.183,0.141,-0.099,0.042,0.24,0.138,-0.134,0.004,0.272,0.142,-0.138,0.004,0.28,0.145,-0.076,0.069,0.221,0.118,-0.095,0.023,0.213
0.154,-0.108,0.046,0.262,0.134,-0.102,0.032,0.236,0.117,-0.104,0.013,0.221,0.087,-0.092,-0.005,0.179,0.004,-0.001,0.003,0.005,0.003,-0.002,0.001,0.005
0.096,-0.12,-0.024,0.216,0.093,-0.11,-0.017,0.203,0.07,-0.102,-0.032,0.172,0.07,-0.082,-0.012,0.152,0.002,-0.003,-0.001,0.005,0.002,-0.002,0.0,0.004
0.112,-0.097,0.015,0.209,0.062,-0.131,-0.069,0.193,0.078,-0.138,-0.06,0.216,0.153,-0.134,0.019,0.287,0.002,-0.003,-0.001,0.005,0.001,-0.004,-0.003,0.005
0.107,-0.078,0.029,0.185,0.116,-0.108,0.008,0.224,0.145,-0.112,0.033,0.257,0.168,-0.076,0.092,0.244,0.004,-0.002,0.002,0.006,0.002,-0.002,0.0,0.004
0.138,-0.084,0.054,0.222,0.144,-0.092,0.052,0.236,0.148,-0.129,0.019,0.277,0.164,-0.108,0.056,0.272,0.14,-0.092,0.048,0.232,0.134,-0.094,0.04,0.228
