,pe11,pe12,pe13,pe14,pe15,pe16,,,,,,
count,100,100,100,100,100,100,,,,,,
mean,26.36480451,29.34236221,26.01228357,28.97826484,29.53975406,27.18305957,,,,,,
std,0.773960647,0.837346072,1.209378685,1.122114422,0.819029489,0.79968404,,,,,,
min,24.89543518,27.58820972,23.81100615,26.61595446,27.76852444,25.49886811,,,,,,
25%,25.80362711,28.71870788,24.97749328,28.16314456,28.96134551,26.55707852,,,,,,
50%,26.37223458,29.41226069,25.96527148,29.00046114,29.5438357,27.23691396,,,,,,
75%,26.99044182,29.90761088,26.89702765,29.79448272,30.13255583,27.63350833,,,,,,
max,27.96994861,31.13467104,28.16512863,31.30002466,31.54075624,28.74514358,,,,,,
,,,,,,,,,,,,
max of mean,29.53975406,29.53975406,29.53975406,29.53975406,29.53975406,29.53975406,,,,,,
scale,1.120423785,1.006727197,1.135607875,1.019376219,1,1.086697176,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
