,pe11,pe12,pe13,pe14,pe15,pe16
count,100,100,100,100,100,100
mean,25.15753847,30.08288556,29.32283441,25.5493291,18.09266142,23.79432143
std,0.972553454,1.232518354,1.526291736,1.154611934,0.904592823,1.052188999
min,23.50628907,27.35048539,26.04583375,22.83219683,16.5131141,21.79645726
25%,24.54886539,29.24838506,28.31716049,24.82850133,17.41387648,22.96744618
50%,25.02068601,30.20959632,29.44987188,25.57675598,18.03300555,23.80783311
75%,25.72450957,31.06561025,30.27334927,26.40042787,18.7086669,24.49417191
max,27.68528303,32.33452344,33.28067809,28.08260937,20.33405318,26.22638812
,,,,,,
max of mean,30.08288556,30.08288556,30.08288556,30.08288556,30.08288556,30.08288556
scale,1.195780167,1,1.025920112,1.177443268,1.662712017,1.264288441
