item,max,,,,,,scale,,,,,,,
,pe11,pe12,pe13,pe14,pe15,pe16,pe11,pe12,pe13,pe14,pe15,pe16,std,mean
fc5,30.74345549,30.74345549,30.74345549,30.74345549,30.74345549,30.74345549,1.205761746,1,1.103409751,1.136259348,1.779521461,1.263517901,0.275476393,1.226196493
fc6,30.08288556,30.08288556,30.08288556,30.08288556,30.08288556,30.08288556,1.195780167,1,1.025920112,1.177443268,1.662712017,1.264288441,0.239338164,1.203357532
std of 5-6,0.467093476,0.467093476,0.467093476,0.467093476,0.467093476,0.467093476,0.007058042,0,0.05479345,0.029121429,0.08259675,0.000544855,0.033675127,#NUM!
mean of 5-6,30.41137703,30.41137703,30.41137703,30.41137703,30.41137703,30.41137703,1.200760585,1,1.063959706,1.156668025,1.720125495,1.263903112,0.256111949,1.214723337
fc7,30.31005627,30.31005627,30.31005627,30.31005627,30.31005627,30.31005627,1.143222879,1.161246389,1.170829878,1.024169698,1.01161346,1,0.081093647,1.082652958
fc8,29.99048887,29.99048887,29.99048887,29.99048887,29.99048887,29.99048887,1.132554937,1.101736092,1.033739201,1.033795184,1,1.01745203,0.051993046,1.052162247
fc9,30.00326108,30.00326108,30.00326108,30.00326108,30.00326108,30.00326108,1.119960284,1,1.133871392,1.030160702,1.0075798,1.062201952,0.057076909,1.057693067
fc10,29.53975406,29.53975406,29.53975406,29.53975406,29.53975406,29.53975406,1.120423785,1.006727197,1.135607875,1.019376219,1,1.086697176,0.060258784,1.060053031
std of  7-10,0.317250672,0.317250672,0.317250672,0.317250672,0.317250672,0.317250672,0.011108394,0.077910329,0.059024762,0.006383185,0.005780153,0.039882659,0.030559733,0.020543459
mean of 7-10,29.95962727,29.95962727,29.95962727,29.95962727,29.95962727,29.95962727,1.128999583,1.065315973,1.117311436,1.026860565,1.004785856,1.041015975,0.04996537,1.06307721
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
